Day,Advances,Declines,Advance_Decline_Ratio,Open,High,Low,Close,Today_Close,Gap,5d_Movement,Awosc,Acosc,SMA_5,SMA_20,EMA_12,EMA_26,MACD,RSI_14,Stoch_%K,BB_Upper,BB_Lower,ATR_14,Body_Size,High_Low_Range,Close_Position,AD_Ratio,Advance_Decline_Diff,Return_1d,Volume_1d,Return_2d,Volume_2d,Return_3d,Volume_3d,Return_5d,Volume_5d,Daily_Return,Rolling_Vol_5
2021-10-08,1089.0,960.0,1.13,17886.85,17941.85,17840.35,17895.2,17895.2,0,1,394.4980882352975,7.280441176472209,17769.019999999997,17648.07,17706.89155240525,17498.24327145055,208.64828095470148,65.7418861301829,91.56141903306242,17969.544024453728,17326.59597554627,184.17849705888764,0.000466823392604186,0.005674559802312872,0.5403940886699723,1.134375,129.0,0.005893644588217839,1425.0,0.014122180664173145,721.0,0.004090381151703237,1227.0,0.020713493288006868,1051.0,0.005893644588217839,0.007927565258244104
2021-10-11,1118.0,963.0,1.16,17867.55,18041.95,17839.1,17945.95,17945.95,0,1,406.83617647059145,23.54900000000123,17819.96,17677.6025,17743.669775112136,17531.40673282458,212.26304228755544,67.01559443737247,83.70257193786604,17994.557573272967,17360.647426727035,185.51217584039583,0.004387842765236502,0.011352983481227263,0.5267438994330838,1.1609553478712358,155.0,0.0028359560105504222,1089.0,0.008746314715562198,1425.0,0.016998186557860118,721.0,0.014396947643609215,1506.0,0.0028359560105504222,0.007429723913173563
2021-10-12,1034.0,1019.0,1.01,17915.8,18008.65,17864.95,17991.95,17991.95,1,1,406.5964705882325,19.924529411760147,17853.890000000003,17708.2,17781.86673278719,17565.521048911647,216.34568387554464,68.1707472607643,91.51175621763856,18022.46916965949,17393.930830340512,182.52559185179618,0.0042504381607297165,0.008020853101731474,0.8837856645789796,1.014720314033366,15.0,0.0025632524330001516,1118.0,0.005406477714694491,1089.0,0.011331986161036811,1425.0,0.009518973420939103,1227.0,0.0025632524330001516,0.006995711693439953
2021-10-13,1062.0,987.0,1.08,18097.85,18197.8,18050.75,18161.75,18161.75,1,0,438.7558823529398,37.44252941176239,17957.04,17740.315000000002,17840.310312358393,17609.68615639967,230.62415595872153,72.06043674552954,95.16042421801592,18099.001250222198,17381.628749777807,184.19162100523923,0.00353080614548145,0.008125274549186743,0.7548452907174468,1.0759878419452888,75.0,0.009437554017213134,1034.0,0.012024997283509586,1118.0,0.014895055657383027,1089.0,0.029227586988552545,721.0,0.009437554017213134,0.0030889727017881967
2021-10-14,1017.0,1044.0,0.97,18272.85,18350.75,18248.7,18338.55,18338.55,1,-1,487.8548529411746,60.946558823527425,18066.68,17775.7675,17916.962571995562,17663.676070740436,253.2865012551265,75.42760784995971,98.64119841844398,18214.799773612605,17336.735226387398,184.53507664772215,0.0035954982391909708,0.005584788360874154,0.8804507594316432,0.9741379310344828,-27.0,0.009734744724489541,1062.0,0.01926417092088406,1034.0,0.021876802286866948,1118.0,0.03081445840020014,1425.0,0.009734744724489541,0.0034480263276241087
2021-10-18,1059.0,1040.0,1.02,18500.1,18543.15,18445.3,18477.05,18477.05,1,-1,554.0563235294103,95.23638235294055,18183.05,17820.3625,18003.129868611628,17723.92599142633,279.20387718529673,77.6953476746461,93.93717037376729,18345.61187303479,17295.113126965207,185.9682854585993,0.00124593921113936,0.005289160599132015,0.32447623914153595,1.0182692307692307,19.0,0.007552396454463484,1017.0,0.01736066183049534,1062.0,0.026962058031508418,1034.0,0.032514305512092445,1089.0,0.007552396454463484,0.003503399970117732
2021-10-19,459.0,1617.0,0.28,18602.35,18604.45,18377.7,18418.75,18418.75,1,-1,616.1398529411781,115.45917647059105,18277.61,17871.454999999998,18067.071427286763,17775.39443650586,291.676990780903,74.57541699645164,83.87390907906727,18420.266945841584,17322.643054158412,188.88126506869935,0.009869720761086559,0.0121893201665381,0.18103638368246647,0.28385899814471244,-1158.0,-0.0031552655862272516,1059.0,0.004373301051609824,1017.0,0.014150618745440324,1062.0,0.02634577718092368,1118.0,-0.0031552655862272516,0.005495769343040788
2021-10-20,415.0,1636.0,0.25,18439.9,18458.3,18209.35,18266.6,18266.6,1,0,657.3345588235279,106.50626470588179,18332.54,17906.684999999998,18097.768130781107,17811.780033801722,285.98809697938486,67.01242955719432,70.66128261907842,18461.937532725802,17351.432467274193,193.17188899236376,0.009398098688170917,0.01350061551309935,0.2299658565977097,0.2536674816625917,-1221.0,-0.008260604004072025,459.0,-0.011389805190763713,1059.0,-0.003923429060640027,1017.0,0.015265160252223797,1034.0,-0.008260604004072025,0.008249130621310016
2021-10-21,920.0,1116.0,0.82,18382.7,18384.2,18048.0,18178.1,18178.1,1,-1,644.0613235294077,52.17194117646795,18335.81,17938.2575,18110.126879891708,17838.914846112704,271.21203377900383,63.00965797137232,62.9759888845467,18479.668863265873,17396.846136734126,203.3881826357664,0.011130029865036266,0.01828893470491281,0.38697204045210665,0.8243727598566308,-196.0,-0.004844908193095576,415.0,-0.013065490329148388,459.0,-0.016179530823372867,1059.0,0.0009002436439218275,1062.0,-0.004844908193095576,0.007957067260047319
2021-10-22,715.0,1311.0,0.55,18230.7,18314.25,18034.35,18114.9,18114.9,1,-1,588.9263235294093,-23.177352941177332,18291.079999999998,17952.855,18110.861206062214,17859.358190845094,251.50301521712026,60.24229915269659,52.150327436223414,18496.780791720164,17408.929208279835,208.8533124474975,0.006351922855403209,0.015353222860340056,0.287781350482324,0.5453852021357742,-596.0,-0.0034767109873967694,920.0,-0.008304774834944517,415.0,-0.016496776382762035,459.0,-0.012195620700655052,1017.0,-0.0034767109873967694,0.005939219885116157
