Day,Advances,Declines,Advance_Decline_Ratio,Open,High,Low,Close
12/12/2024,895,"1,913",0.47,24604.45,24675.25,24527.95,24548.7
13/12/2024,"1,191","1,589",0.75,24498.35,24792.3,24180.8,24768.3
16/12/2024,"1,484","1,332",1.11,24753.4,24781.25,24601.75,24668.25
17/12/2024,908,"1,872",0.49,24584.8,24624.1,24303.45,24336
18/12/2024,827,"1,960",0.42,24297.95,24394.45,24149.85,24198.85
19/12/2024,"1,024","1,761",0.58,23877.15,24004.9,23870.3,23951.7
20/12/2024,478,"2,310",0.21,23960.7,24065.8,23537.35,23587.5
23/12/2024,"1,096","1,713",0.64,23738.2,23869.55,23647.2,23753.45
24/12/2024,"1,396","1,380",1.01,23769.1,23867.65,23685.15,23727.65
26/12/2024,"1,145","1,649",0.69,23775.8,23854.5,23653.6,23750.2
27/12/2024,"1,396","1,401",1,23801.4,23938.85,23800.6,23813.4
30/12/2024,871,"1,972",0.44,23796.9,23915.35,23599.3,23644.9
31/12/2024,"1,710","1,091",1.57,23560.6,23689.85,23460.45,23644.8
01/01/2025,"2,042",755,2.7,23637.65,23822.8,23562.8,23742.9
02/01/2025,"1,791","1,018",1.76,23783,24226.7,23751.55,24188.65
03/01/2025,"1,449","1,360",1.07,24196.4,24196.45,23976,24004.75
06/01/2025,365,"2,513",0.15,24045.8,24089.95,23551.9,23616.05
07/01/2025,"2,033",769,2.64,23679.9,23795.2,23637.8,23707.9
08/01/2025,887,"1,910",0.46,23746.65,23751.85,23496.15,23688.95
09/01/2025,722,"2,066",0.35,23674.75,23689.5,23503.05,23526.5
10/01/2025,481,"2,334",0.21,23551.9,23596.6,23344.35,23431.5
13/01/2025,270,"2,581",0.1,23195.4,23340.95,23047.25,23085.95
14/01/2025,"2,093",712,2.94,23165.9,23264.95,23134.15,23176.05
15/01/2025,"1,498","1,298",1.15,23250.45,23293.65,23146.45,23213.2
16/01/2025,"2,037",741,2.75,23377.25,23391.65,23272.05,23311.8
17/01/2025,"1,433","1,367",1.05,23277.1,23292.1,23100.35,23203.2
20/01/2025,"1,782","1,049",1.7,23290.4,23391.1,23170.65,23344.75
21/01/2025,633,"2,156",0.29,23421.65,23426.3,22976.85,23024.65
22/01/2025,721,"2,088",0.35,23099.15,23169.55,22981.3,23155.35
23/01/2025,"1,535","1,253",1.23,23128.3,23270.8,23090.65,23205.35
24/01/2025,558,"2,251",0.25,23183.9,23347.3,23050,23092.2
27/01/2025,300,"2,571",0.12,22940.15,23007.45,22786.9,22829.15
28/01/2025,840,"2,005",0.42,22960.45,23137.95,22857.65,22957.25
29/01/2025,"2,274",532,4.27,23026.75,23183.35,22976.5,23163.1
30/01/2025,"1,502","1,288",1.17,23169.5,23322.05,23139.2,23249.5
31/01/2025,"2,080",728,2.86,23296.75,23546.8,23277.4,23508.4
01/02/2025,"1,387","1,356",1.02,23528.6,23632.45,23318.3,23482.15
03/02/2025,734,"2,084",0.35,23319.35,23381.6,23222,23361.05
04/02/2025,"1,920",875,2.19,23509.9,23762.75,23423.15,23739.25
05/02/2025,"1,943",867,2.24,23801.75,23807.3,23680.45,23696.3
06/02/2025,"1,287","1,520",0.85,23761.95,23773.55,23556.25,23603.35
07/02/2025,971,"1,826",0.53,23649.5,23694.5,23443.2,23559.95
10/02/2025,559,"2,296",0.24,23543.8,23568.6,23316.3,23381.6
11/02/2025,277,"2,565",0.11,23383.55,23390.05,22986.65,23071.8
12/02/2025,"1,047","1,759",0.6,23050.8,23144.7,22798.35,23045.25
13/02/2025,"1,287","1,507",0.85,23055.75,23235.5,22992.2,23031.4
